;;;;S typhi strain CT18;S choleraesuis SC B67;S dublin CT 02021853;S gallinarum 287/91;S paratyphi A ATCC 9150;S agona SL483;S enteritidis P125109;S heidelberg SL476;S newport SL254;S typhimurium LT2;S typhimurium SL1344
Layer;Node 1 Ortholog group ID;Node 2 Ortholog group ID;Layer;EIP;EIP;EIP;EIP;EIP;GIP;GIP;GIP;GIP;GIP;GIP
PPI;581;1219;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;581;970;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;581;2484;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;581;1035;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;584;1011;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;587;298;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;587;156;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;596;4235;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;597;1579;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;597;398;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;604;1095;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;604;1405;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;606;3531;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;614;3159;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;622;1265;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;623;3726;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;623;1239;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;624;3143;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;624;3007;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;633;1114;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;633;1220;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;644;93;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;644;2902;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;644;224;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;654;1431;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;663;2691;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;666;2601;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;666;877;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;676;77;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;678;464;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;678;357;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;678;1694;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;678;2389;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;686;1265;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;691;2799;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;692;1656;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;692;1114;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;692;1694;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;698;195;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;698;1004;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;701;2312;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;703;1656;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;703;2795;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;703;3288;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;703;796;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;703;678;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;703;1977;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;703;692;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;703;93;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;703;3757;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;703;357;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;703;292;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;703;2165;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;704;970;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;704;551;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;704;1583;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;713;1695;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;713;1032;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;716;190;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;744;306;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;753;3654;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;758;1412;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;790;2583;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;791;1880;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;796;3730;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;796;1175;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;796;2165;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;804;64;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;804;3276;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;804;3159;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;804;3654;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;804;143;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;804;814;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;804;2283;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;804;757;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;804;1789;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;804;2484;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;813;3171;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;813;1360;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;814;970;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;814;71;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;814;179;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;820;220;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;820;331;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;820;878;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;832;1011;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;832;564;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;832;3754;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;836;704;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;842;3987;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;842;564;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;842;4191;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;842;832;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;842;3598;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;842;3754;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;842;1460;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;842;2913;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;848;1758;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;852;2636;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;859;3222;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;864;1565;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;864;1911;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;867;564;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;867;2693;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;869;1880;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;871;2511;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;876;389;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;876;189;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;881;3171;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;881;1158;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;883;3518;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;883;2356;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;883;486;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;885;3822;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;885;65;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;885;3872;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;895;1695;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;899;886;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;899;43;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;900;2601;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;904;3144;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;912;2408;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;912;3173;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;913;1079;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;913;1695;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;914;2939;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;922;1959;PPI;1;1;1;1;1;1;1;1;1;1;1
