source;target;ref;layer
B5EYP9;B5F646;STM;Metabolic
B5EYP9;B5F647;STM;Metabolic
B5EYQ6;B5EYQ8;STM;Metabolic
B5EYQ6;B5F0G0;STM;Metabolic
B5EYQ6;B5F0G1;STM;Metabolic
B5EYQ7;B5EYQ6;STM;Metabolic
B5EYQ7;B5EYQ8;STM;Metabolic
B5EYQ7;B5F0G0;STM;Metabolic
B5EYQ7;B5F0G1;STM;Metabolic
B5EYQ8;B5F0G0;STM;Metabolic
B5EYQ8;B5F0G1;STM;Metabolic
B5EYU2;B5EYU4;STM;Metabolic
B5EYU3;B5EYU2;STM;Metabolic
B5EYU3;B5EYU4;STM;Metabolic
B5EYU3;B5EYU5;STM;Metabolic
B5EYU5;B5EYU2;STM;Metabolic
B5EYU5;B5EYU4;STM;Metabolic
B5EYV9;B5F1T2;STM;Metabolic
B5EYW1;B5EZB3;STM_BioModels;Metabolic
B5EYW1;B5EZV0;STM_BioModels;Metabolic
B5EYW1;B5F818;BioModels;Metabolic
B5EYW2;B5EYW3;STM;Metabolic
B5EYW2;B5F334;STM;Metabolic
B5EYW2;B5F335;STM;Metabolic
B5EYW3;B5F334;STM;Metabolic
B5EYW3;B5F335;STM;Metabolic
B5EYW7;B5EZT8;BioModels;Metabolic
B5EYW7;B5F377;BioModels;Metabolic
B5EYW7;B5F4V4;BioModels;Metabolic
B5EYW9;B5EYX0;STM;Metabolic
B5EYW9;B5EYX1;STM;Metabolic
B5EYW9;B5F8P2;STM;Metabolic
B5EYX0;B5EYX1;STM;Metabolic
B5EYX0;B5F8P2;STM;Metabolic
B5EYX1;B5F8P2;STM;Metabolic
B5EYY6;B5EYY7;STM;Metabolic
B5EYY6;B5EYY8;STM;Metabolic
B5EYY7;B5EYY8;STM;Metabolic
B5EYZ0;B5F7D7;STM;Metabolic
B5EYZ2;B5EZC0;BioModels;Metabolic
B5EYZ2;B5F6U4;BioModels;Metabolic
B5EYZ2;B5F8D2;BioModels;Metabolic
B5EYZ3;B5EXC9;BioModels;Metabolic
B5EYZ5;B5EYZ6;STM;Metabolic
B5EYZ5;B5EYZ7;STM;Metabolic
B5EYZ5;B5EYZ8;STM;Metabolic
B5EYZ5;B5EYZ9;STM;Metabolic
B5EYZ5;B5EZ03;STM;Metabolic
B5EYZ6;B5EYZ7;STM;Metabolic
B5EYZ6;B5EYZ8;STM;Metabolic
B5EYZ6;B5EYZ9;STM;Metabolic
B5EYZ6;B5EZ03;STM;Metabolic
B5EYZ7;B5EYZ8;STM;Metabolic
B5EYZ7;B5EYZ9;STM;Metabolic
B5EYZ7;B5EZ03;STM;Metabolic
B5EYZ8;B5EYZ9;STM;Metabolic
B5EYZ8;B5EZ03;STM;Metabolic
B5EYZ9;B5EZ03;STM;Metabolic
B5EZ00;B5EYZ5;STM;Metabolic
B5EZ00;B5EYZ6;STM;Metabolic
B5EZ00;B5EYZ7;STM;Metabolic
B5EZ00;B5EYZ8;STM;Metabolic
B5EZ00;B5EYZ9;STM;Metabolic
B5EZ00;B5EZ01;STM;Metabolic
B5EZ00;B5EZ02;STM;Metabolic
B5EZ00;B5EZ03;STM;Metabolic
B5EZ01;B5EYZ5;STM;Metabolic
B5EZ01;B5EYZ6;STM;Metabolic
B5EZ01;B5EYZ7;STM;Metabolic
B5EZ01;B5EYZ8;STM;Metabolic
B5EZ01;B5EYZ9;STM;Metabolic
B5EZ01;B5EZ02;STM;Metabolic
B5EZ01;B5EZ03;STM;Metabolic
B5EZ02;B5EYZ5;STM;Metabolic
B5EZ02;B5EYZ6;STM;Metabolic
